row,name,acronym,id,atlas_id,parent_structure_id,parent_name,parent_acronym,voxels_in_structure
102,"Supplemental somatosensory area, layer 2/3",SSs2/3,806,949,378,Supplemental somatosensory area,SSs,137269
103,"Supplemental somatosensory area, layer 4",SSs4,1035,1119,378,Supplemental somatosensory area,SSs,74614
104,"Supplemental somatosensory area, layer 5",SSs5,1090,1126,378,Supplemental somatosensory area,SSs,139873
105,"Supplemental somatosensory area, layer 6a",SSs6a,862,956,378,Supplemental somatosensory area,SSs,132739
106,"Supplemental somatosensory area, layer 6b",SSs6b,893,960,378,Supplemental somatosensory area,SSs,13156
107,Gustatory areas,GU,1057,131,315,Isocortex,Isocortex,0
108,"Gustatory areas, layer 1",GU1,36,994,1057,Gustatory areas,GU,12588
109,"Gustatory areas, layer 2/3",GU2/3,180,729,1057,Gustatory areas,GU,25735
110,"Gustatory areas, layer 4",GU4,148,1008,1057,Gustatory areas,GU,9427
111,"Gustatory areas, layer 5",GU5,187,1013,1057,Gustatory areas,GU,34860
112,"Gustatory areas, layer 6a",GU6a,638,645,1057,Gustatory areas,GU,28068
113,"Gustatory areas, layer 6b",GU6b,662,648,1057,Gustatory areas,GU,2518
114,Visceral area,VISC,677,367,315,Isocortex,Isocortex,0
115,"Visceral area, layer 1",VISC1,897,1102,677,Visceral area,VISC,21663
116,"Visceral area, layer 2/3",VISC2/3,1106,1128,677,Visceral area,VISC,34556
117,"Visceral area, layer 4",VISC4,1010,1116,677,Visceral area,VISC,11677
118,"Visceral area, layer 5",VISC5,1058,1122,677,Visceral area,VISC,45196
119,"Visceral area, layer 6a",VISC6a,857,1097,677,Visceral area,VISC,34317
120,"Visceral area, layer 6b",VISC6b,849,1096,677,Visceral area,VISC,3210
121,Auditory areas,AUD,247,30,315,Isocortex,Isocortex,0
122,Dorsal auditory area,AUDd,1011,833,247,Auditory areas,AUD,0
123,"Dorsal auditory area, layer 1",AUDd1,527,631,1011,Dorsal auditory area,AUDd,12598
124,"Dorsal auditory area, layer 2/3",AUDd2/3,600,923,1011,Dorsal auditory area,AUDd,20957
125,"Dorsal auditory area, layer 4",AUDd4,678,650,1011,Dorsal auditory area,AUDd,8479
126,"Dorsal auditory area, layer 5",AUDd5,252,738,1011,Dorsal auditory area,AUDd,21944
127,"Dorsal auditory area, layer 6a",AUDd6a,156,1009,1011,Dorsal auditory area,AUDd,11802
128,"Dorsal auditory area, layer 6b",AUDd6b,243,1020,1011,Dorsal auditory area,AUDd,1938
129,Laterolateral anterior visual area,VISlla,480149230,,1011,,,0
130,"Laterolateral anterior visual area, layer 1",VISlla1,480149234,,480149230,,,0
131,"Laterolateral anterior visual area, layer 2/3",VISlla2/3,480149238,,480149230,,,0
132,"Laterolateral anterior visual area, layer 4",VISlla4,480149242,,480149230,,,0
133,"Laterolateral anterior visual area,layer 5",VISlla5,480149246,,480149230,,,0
134,"Laterolateral anterior visual area, layer 6a",VISlla6a,480149250,,480149230,,,0
135,"Laterolateral anterior visual area, layer 6b",VISlla6b,480149254,,480149230,,,0
136,Primary auditory area,AUDp,1002,832,247,Auditory areas,AUD,0
137,"Primary auditory area, layer 1",AUDp1,735,940,1002,Primary auditory area,AUDp,24226
138,"Primary auditory area, layer 2/3",AUDp2/3,251,1021,1002,Primary auditory area,AUDp,30166
139,"Primary auditory area, layer 4",AUDp4,816,950,1002,Primary auditory area,AUDp,15023
140,"Primary auditory area, layer 5",AUDp5,847,954,1002,Primary auditory area,AUDp,45730
141,"Primary auditory area, layer 6a",AUDp6a,954,1109,1002,Primary auditory area,AUDp,19087
142,"Primary auditory area, layer 6b",AUDp6b,1005,1115,1002,Primary auditory area,AUDp,3484
143,Posterior auditory area,AUDpo,1027,835,247,Auditory areas,AUD,0
144,"Posterior auditory area, layer 1",AUDpo1,696,935,1027,Posterior auditory area,AUDpo,7221
145,"Posterior auditory area, layer 2/3",AUDpo2/3,643,1070,1027,Posterior auditory area,AUDpo,9377
146,"Posterior auditory area, layer 4",AUDpo4,759,943,1027,Posterior auditory area,AUDpo,4768
147,"Posterior auditory area, layer 5",AUDpo5,791,947,1027,Posterior auditory area,AUDpo,11609
148,"Posterior auditory area, layer 6a",AUDpo6a,249,455,1027,Posterior auditory area,AUDpo,5049
149,"Posterior auditory area, layer 6b",AUDpo6b,456,622,1027,Posterior auditory area,AUDpo,1140
150,Ventral auditory area,AUDv,1018,834,247,Auditory areas,AUD,0
151,"Ventral auditory area, layer 1",AUDv1,959,968,1018,Ventral auditory area,AUDv,18571
152,"Ventral auditory area, layer 2/3",AUDv2/3,755,1084,1018,Ventral auditory area,AUDv,24722
153,"Ventral auditory area, layer 4",AUDv4,990,972,1018,Ventral auditory area,AUDv,13693
154,"Ventral auditory area, layer 5",AUDv5,1023,976,1018,Ventral auditory area,AUDv,38671
155,"Ventral auditory area, layer 6a",AUDv6a,520,630,1018,Ventral auditory area,AUDv,18104
156,"Ventral auditory area, layer 6b",AUDv6b,598,640,1018,Ventral auditory area,AUDv,2896
157,Visual areas,VIS,669,366,315,Isocortex,Isocortex,0
158,"Visual areas, layer 1",VIS1,801,1090,669,Visual areas,VIS,0
159,"Visual areas, layer 2/3",VIS2/3,561,1060,669,Visual areas,VIS,0
160,"Visual areas, layer 4",VIS4,913,1104,669,Visual areas,VIS,0
161,"Visual areas, layer 5",VIS5,937,1107,669,Visual areas,VIS,0
162,"Visual areas, layer 6a",VIS6a,457,1047,669,Visual areas,VIS,0
163,"Visual areas, layer 6b",VIS6b,497,1052,669,Visual areas,VIS,0
164,Anterolateral visual area,VISal,402,757,669,Visual areas,VIS,0
165,"Anterolateral visual area, layer 1",VISal1,1074,1124,402,Anterolateral visual area,VISal,7502
166,"Anterolateral visual area, layer 2/3",VISal2/3,905,1103,402,Anterolateral visual area,VISal,12714
167,"Anterolateral visual area, layer 4",VISal4,1114,1129,402,Anterolateral visual area,VISal,6639
168,"Anterolateral visual area, layer 5",VISal5,233,453,402,Anterolateral visual area,VISal,13011
169,"Anterolateral visual area, layer 6a",VISal6a,601,1065,402,Anterolateral visual area,VISal,7147
170,"Anterolateral visual area, layer 6b",VISal6b,649,1071,402,Anterolateral visual area,VISal,1422
171,Anteromedial visual area,VISam,394,756,669,Visual areas,VIS,0
172,"Anteromedial visual area, layer 1",VISam1,281,1025,394,Anteromedial visual area,VISam,8602
173,"Anteromedial visual area, layer 2/3",VISam2/3,1066,1123,394,Anteromedial visual area,VISam,13301
174,"Anteromedial visual area, layer 4",VISam4,401,1040,394,Anteromedial visual area,VISam,3859
175,"Anteromedial visual area, layer 5",VISam5,433,1044,394,Anteromedial visual area,VISam,14542
176,"Anteromedial visual area, layer 6a",VISam6a,1046,696,394,Anteromedial visual area,VISam,8702
177,"Anteromedial visual area, layer 6b",VISam6b,441,762,394,Anteromedial visual area,VISam,1595
178,Lateral visual area,VISl,409,758,669,Visual areas,VIS,0
179,"Lateral visual area, layer 1",VISl1,421,618,409,Lateral visual area,VISl,11854
180,"Lateral visual area, layer 2/3",VISl2/3,973,687,409,Lateral visual area,VISl,19298
181,"Lateral visual area, layer 4",VISl4,573,637,409,Lateral visual area,VISl,11472
182,"Lateral visual area, layer 5",VISl5,613,642,409,Lateral visual area,VISl,20110
183,"Lateral visual area, layer 6a",VISl6a,74,999,409,Lateral visual area,VISl,13260
184,"Lateral visual area, layer 6b",VISl6b,121,1005,409,Lateral visual area,VISl,2465
185,Primary visual area,VISp,385,755,669,Visual areas,VIS,0
186,"Primary visual area, layer 1",VISp1,593,1064,385,Primary visual area,VISp,80747
187,"Primary visual area, layer 2/3",VISp2/3,821,951,385,Primary visual area,VISp,127983
188,"Primary visual area, layer 4",VISp4,721,1080,385,Primary visual area,VISp,65560
189,"Primary visual area, layer 5",VISp5,778,1087,385,Primary visual area,VISp,99343
190,"Primary visual area, layer 6a",VISp6a,33,428,385,Primary visual area,VISp,68387
191,"Primary visual area, layer 6b",VISp6b,305,462,385,Primary visual area,VISp,10644
192,Posterolateral visual area,VISpl,425,760,669,Visual areas,VIS,0
193,"Posterolateral visual area, layer 1",VISpl1,750,942,425,Posterolateral visual area,VISpl,12115
194,"Posterolateral visual area, layer 2/3",VISpl2/3,269,882,425,Posterolateral visual area,VISpl,13341
195,"Posterolateral visual area, layer 4",VISpl4,869,957,425,Posterolateral visual area,VISpl,2308
196,"Posterolateral visual area, layer 5",VISpl5,902,961,425,Posterolateral visual area,VISpl,15560
197,"Posterolateral visual area, layer 6a",VISpl6a,377,1037,425,Posterolateral visual area,VISpl,6870
198,"Posterolateral visual area, layer 6b",VISpl6b,393,1039,425,Posterolateral visual area,VISpl,551
199,posteromedial visual area,VISpm,533,915,669,Visual areas,VIS,0
200,"posteromedial visual area, layer 1",VISpm1,805,383,533,posteromedial visual area,VISpm,12049
201,"posteromedial visual area, layer 2/3",VISpm2/3,41,995,533,posteromedial visual area,VISpm,18770
202,"posteromedial visual area, layer 4",VISpm4,501,628,533,posteromedial visual area,VISpm,6309
203,"posteromedial visual area, layer 5",VISpm5,565,636,533,posteromedial visual area,VISpm,18275
204,"posteromedial visual area, layer 6a",VISpm6a,257,456,533,posteromedial visual area,VISpm,9662
205,"posteromedial visual area, layer 6b",VISpm6b,469,624,533,posteromedial visual area,VISpm,1794
206,Laterointermediate area,VISli,312782574,,669,,,0
207,"Laterointermediate area, layer 1",VISli1,312782578,,312782574,,,0
208,"Laterointermediate area, layer 2/3",VISli2/3,312782582,,312782574,,,0
209,"Laterointermediate area, layer 4",VISli4,312782586,,312782574,,,0
210,"Laterointermediate area, layer 5",VISli5,312782590,,312782574,,,0
211,"Laterointermediate area, layer 6a",VISli6a,312782594,,312782574,,,0
212,"Laterointermediate area, layer 6b",VISli6b,312782598,,312782574,,,0
213,Postrhinal area,VISpor,312782628,,669,,,0
214,"Postrhinal area, layer 1",VISpor1,312782632,,312782628,,,0
215,"Postrhinal area, layer 2/3",VISpor2/3,312782636,,312782628,,,0
216,"Postrhinal area, layer 4",VISpor4,312782640,,312782628,,,0
217,"Postrhinal area, layer 5",VISpor5,312782644,,312782628,,,0
218,"Postrhinal area, layer 6a",VISpor6a,312782648,,312782628,,,0
219,"Postrhinal area, layer 6b",VISpor6b,312782652,,312782628,,,0
220,Anterior cingulate area,ACA,31,3,315,Isocortex,Isocortex,0
221,"Anterior cingulate area, layer 1",ACA1,572,1061,31,Anterior cingulate area,ACA,0
222,"Anterior cingulate area, layer 2/3",ACA2/3,1053,1121,31,Anterior cingulate area,ACA,0
223,"Anterior cingulate area, layer 5",ACA5,739,1082,31,Anterior cingulate area,ACA,0
224,"Anterior cingulate area, layer 6a",ACA6a,179,1012,31,Anterior cingulate area,ACA,0
225,"Anterior cingulate area, layer 6b",ACA6b,227,1018,31,Anterior cingulate area,ACA,0
226,"Anterior cingulate area, dorsal part",ACAd,39,4,31,Anterior cingulate area,ACA,0
227,"Anterior cingulate area, dorsal part, layer 1",ACAd1,935,965,39,"Anterior cingulate area, dorsal part",ACAd,38133
228,"Anterior cingulate area, dorsal part, layer 2/3",ACAd2/3,211,1016,39,"Anterior cingulate area, dorsal part",ACAd,39098
229,"Anterior cingulate area, dorsal part, layer 5",ACAd5,1015,975,39,"Anterior cingulate area, dorsal part",ACAd,76687
230,"Anterior cingulate area, dorsal part, layer 6a",ACAd6a,919,963,39,"Anterior cingulate area, dorsal part",ACAd,44804
231,"Anterior cingulate area, dorsal part, layer 6b",ACAd6b,927,964,39,"Anterior cingulate area, dorsal part",ACAd,1584
232,"Anterior cingulate area, ventral part",ACAv,48,5,31,Anterior cingulate area,ACA,0
233,"Anterior cingulate area, ventral part, layer 1",ACAv1,588,1063,48,"Anterior cingulate area, ventral part",ACAv,30297
234,"Anterior cingulate area, ventral part, layer 2/3",ACAv2/3,296,885,48,"Anterior cingulate area, ventral part",ACAv,32601
235,"Anterior cingulate area, ventral part, layer 5",ACAv5,772,1086,48,"Anterior cingulate area, ventral part",ACAv,64153
236,"Anterior cingulate area, ventral part, 6a",ACAv6a,810,1091,48,"Anterior cingulate area, ventral part",ACAv,23226
237,"Anterior cingulate area, ventral part, 6b",ACAv6b,819,1092,48,"Anterior cingulate area, ventral part",ACAv,3966
238,Prelimbic area,PL,972,262,315,Isocortex,Isocortex,0
239,"Prelimbic area, layer 1",PL1,171,1011,972,Prelimbic area,PL,33240
240,"Prelimbic area, layer 2",PL2,195,1014,972,Prelimbic area,PL,0
241,"Prelimbic area, layer 2/3",PL2/3,304,886,972,Prelimbic area,PL,26811
242,"Prelimbic area, layer 5",PL5,363,1035,972,Prelimbic area,PL,63042
243,"Prelimbic area, layer 6a",PL6a,84,1000,972,Prelimbic area,PL,29663
244,"Prelimbic area, layer 6b",PL6b,132,1006,972,Prelimbic area,PL,1371
245,Infralimbic area,ILA,44,146,315,Isocortex,Isocortex,0
246,"Infralimbic area, layer 1",ILA1,707,1078,44,Infralimbic area,ILA,9609
247,"Infralimbic area, layer 2",ILA2,747,1083,44,Infralimbic area,ILA,0
248,"Infralimbic area, layer 2/3",ILA2/3,556,1059,44,Infralimbic area,ILA,9157
249,"Infralimbic area, layer 5",ILA5,827,1093,44,Infralimbic area,ILA,21394
250,"Infralimbic area, layer 6a",ILA6a,1054,980,44,Infralimbic area,ILA,13114
251,"Infralimbic area, layer 6b",ILA6b,1081,983,44,Infralimbic area,ILA,689
252,Orbital area,ORB,714,230,315,Isocortex,Isocortex,0
253,"Orbital area, layer 1",ORB1,264,881,714,Orbital area,ORB,0
254,"Orbital area, layer 2/3",ORB2/3,492,1051,714,Orbital area,ORB,0
255,"Orbital area, layer 5",ORB5,352,892,714,Orbital area,ORB,0
256,"Orbital area, layer 6a",ORB6a,476,1049,714,Orbital area,ORB,0
257,"Orbital area, layer 6b",ORB6b,516,1054,714,Orbital area,ORB,0
258,"Orbital area, lateral part",ORBl,723,231,714,Orbital area,ORB,0
259,"Orbital area, lateral part, layer 1",ORBl1,448,621,723,"Orbital area, lateral part",ORBl,24007
260,"Orbital area, lateral part, layer 2/3",ORBl2/3,412,1041,723,"Orbital area, lateral part",ORBl,39769
261,"Orbital area, lateral part, layer 5",ORBl5,630,644,723,"Orbital area, lateral part",ORBl,77287
262,"Orbital area, lateral part, layer 6a",ORBl6a,440,620,723,"Orbital area, lateral part",ORBl,30562
263,"Orbital area, lateral part, layer 6b",ORBl6b,488,626,723,"Orbital area, lateral part",ORBl,2906
264,"Orbital area, medial part",ORBm,731,232,714,Orbital area,ORB,0
265,"Orbital area, medial part, layer 1",ORBm1,484,1050,731,"Orbital area, medial part",ORBm,26955
266,"Orbital area, medial part, layer 2",ORBm2,524,1055,731,"Orbital area, medial part",ORBm,0
267,"Orbital area, medial part, layer 2/3",ORBm2/3,582,638,731,"Orbital area, medial part",ORBm,20153
268,"Orbital area, medial part, layer 5",ORBm5,620,1067,731,"Orbital area, medial part",ORBm,30184
269,"Orbital area, medial part, layer 6a",ORBm6a,910,962,731,"Orbital area, medial part",ORBm,11931
270,"Orbital area, medial part, layer 6b",ORBm6b,527696977,,731,,,0
271,"Orbital area, ventral part",ORBv,738,233,714,Orbital area,ORB,0
272,"Orbital area, ventrolateral part",ORBvl,746,234,714,Orbital area,ORB,0
273,"Orbital area, ventrolateral part, layer 1",ORBvl1,969,1111,746,"Orbital area, ventrolateral part",ORBvl,24693
274,"Orbital area, ventrolateral part, layer 2/3",ORBvl2/3,288,884,746,"Orbital area, ventrolateral part",ORBvl,33502
275,"Orbital area, ventrolateral part, layer 5",ORBvl5,1125,1130,746,"Orbital area, ventrolateral part",ORBvl,39639
276,"Orbital area, ventrolateral part, layer 6a",ORBvl6a,608,924,746,"Orbital area, ventrolateral part",ORBvl,15242
277,"Orbital area, ventrolateral part, layer 6b",ORBvl6b,680,933,746,"Orbital area, ventrolateral part",ORBvl,647
278,Agranular insular area,AI,95,11,315,Isocortex,Isocortex,0
279,"Agranular insular area, dorsal part",AId,104,12,95,Agranular insular area,AI,0
280,"Agranular insular area, dorsal part, layer 1",AId1,996,1114,104,"Agranular insular area, dorsal part",AId,29473
281,"Agranular insular area, dorsal part, layer 2/3",AId2/3,328,889,104,"Agranular insular area, dorsal part",AId,59244
282,"Agranular insular area, dorsal part, layer 5",AId5,1101,1127,104,"Agranular insular area, dorsal part",AId,96632
283,"Agranular insular area, dorsal part, layer 6a",AId6a,783,946,104,"Agranular insular area, dorsal part",AId,50002
284,"Agranular insular area, dorsal part, layer 6b",AId6b,831,952,104,"Agranular insular area, dorsal part",AId,3135
285,"Agranular insular area, posterior part",AIp,111,13,95,Agranular insular area,AI,0
286,"Agranular insular area, posterior part, layer 1",AIp1,120,863,111,"Agranular insular area, posterior part",AIp,27060
287,"Agranular insular area, posterior part, layer 2/3",AIp2/3,163,1010,111,"Agranular insular area, posterior part",AIp,51401
288,"Agranular insular area, posterior part, layer 5",AIp5,344,891,111,"Agranular insular area, posterior part",AIp,48165
289,"Agranular insular area, posterior part, layer 6a",AIp6a,314,1029,111,"Agranular insular area, posterior part",AIp,27900
290,"Agranular insular area, posterior part, layer 6b",AIp6b,355,1034,111,"Agranular insular area, posterior part",AIp,1323
291,"Agranular insular area, ventral part",AIv,119,14,95,Agranular insular area,AI,0
292,"Agranular insular area, ventral part, layer 1",AIv1,704,936,119,"Agranular insular area, ventral part",AIv,16036
293,"Agranular insular area, ventral part, layer 2/3",AIv2/3,694,652,119,"Agranular insular area, ventral part",AIv,38034
294,"Agranular insular area, ventral part, layer 5",AIv5,800,948,119,"Agranular insular area, ventral part",AIv,46103
295,"Agranular insular area, ventral part, layer 6a",AIv6a,675,1074,119,"Agranular insular area, ventral part",AIv,10733
296,"Agranular insular area, ventral part, layer 6b",AIv6b,699,1077,119,"Agranular insular area, ventral part",AIv,194
297,Retrosplenial area,RSP,254,314,315,Isocortex,Isocortex,0
