Unknown,name,acronym,id,atlas_id,parent_structure_id,parent_name,parent_acronym,voxels_in_structure,cell_count
67,"Primary somatosensory area, lower limb, layer 2/3",SSp-ll2/3,113,1004,337,"Primary somatosensory area, lower limb",SSp-ll,57864,0
905,"Superior olivary complex, lateral part",SOCl,114,438,398,Superior olivary complex,SOC,29452,0
857,Trochlear nucleus,IV,115,155,323,"Midbrain, motor related",MBmot,864,0
1298,choroid fissure,chfl,116,721,81,lateral ventricle,VL,0,0
1117,optic chiasm,och,117,580,848,optic nerve,IIn,28891,0
732,"Periventricular hypothalamic nucleus, intermediate part",PVi,118,297,157,Periventricular zone,PVZ,17728,0
291,"Agranular insular area, ventral part",AIv,119,14,95,Agranular insular area,AI,0,0
286,"Agranular insular area, posterior part, layer 1",AIp1,120,863,111,"Agranular insular area, posterior part",AIp,43945,0
184,"Lateral visual area, layer 6b",VISl6b,121,1005,409,Lateral visual area,VISl,3973,0
903,"Superior olivary complex, periolivary region",POR,122,439,398,Superior olivary complex,SOC,35114,0
891,Koelliker-Fuse subnucleus,KF,123,156,867,Parabrachial nucleus,PB,14777,0
1299,interventricular foramen,IVF,124,722,73,ventricular systems,VS,0,0
1118,optic tract,opt,125,581,848,optic nerve,IIn,65535,0
749,"Periventricular hypothalamic nucleus, posterior part",PVp,126,298,141,Periventricular region,PVR,11651,0
676,Anteromedial nucleus,AM,127,15,239,Anterior group of the dorsal thalamus,ATN,0,0
826,Midbrain reticular nucleus,MRN,128,864,323,"Midbrain, motor related",MBmot,488301,0
1300,third ventricle,V3,129,723,73,ventricular systems,VS,109193,0
927,"Superior central nucleus raphe, medial part",CSm,130,440,679,Superior central nucleus raphe,CS,0,0
561,Lateral amygdalar nucleus,LA,131,157,703,Cortical subplate,CTXsp,100101,0
244,"Prelimbic area, layer 6b",PL6b,132,1006,972,Prelimbic area,PL,0,0
750,"Periventricular hypothalamic nucleus, preoptic part",PVpo,133,299,141,Periventricular region,PVR,15772,0
1224,pallidotegmental fascicle,ptf,134,582,760,cerebral nuclei related,epsc,0,0
970,Nucleus ambiguus,AMB,135,16,370,"Medulla, motor related",MY-mot,0,0
978,Intermediate reticular nucleus,IRN,136,865,370,"Medulla, motor related",MY-mot,281027,0
926,"Superior central nucleus raphe, lateral part",CSl,137,441,679,Superior central nucleus raphe,CS,0,0
667,Lateral group of the dorsal thalamus,LAT,138,158,856,"Thalamus, polymodal association cortex related",DORpm,0,0
503,"Entorhinal area, lateral part, layer 5",ENTl5,139,1007,918,"Entorhinal area, lateral part",ENTl,137595,0
1301,cerebral aqueduct,AQ,140,724,73,ventricular systems,VS,45230,0
734,Periventricular region,PVR,141,300,1097,Hypothalamus,HY,0,0
1221,pallidothalamic pathway,pap,142,583,760,cerebral nuclei related,epsc,0,0
972,"Nucleus ambiguus, ventral division",AMBv,143,17,135,Nucleus ambiguus,AMB,2138,0
580,"Olfactory tubercle, layers 1-3",OT1-3,144,866,754,Olfactory tubercle,OT,0,0
1302,fourth ventricle,V4,145,725,73,ventricular systems,VS,61822,0
931,Pontine reticular nucleus,PRNr,146,442,1117,"Pons, behavioral state related",P-sat,236548,0
928,Locus ceruleus,LC,147,159,1117,"Pons, behavioral state related",P-sat,1499,0
110,"Gustatory areas, layer 4",GU4,148,1008,1057,Gustatory areas,GU,13029,0
692,Paraventricular nucleus of the thalamus,PVT,149,301,571,Midline group of the dorsal thalamus,MTN,51144,0
1277,periventricular bundle of the hypothalamus,pvbh,150,584,824,hypothalamus related,mfsbshy,0,0
386,Accessory olfactory bulb,AOB,151,18,698,Olfactory areas,OLF,0,0
417,"Piriform area, layers 1-3",PIR1-3,152,867,961,Piriform area,PIR,0,0
1303,lateral recess,V4r,153,726,145,fourth ventricle,V4,40784,0
993,Perihypoglossal nuclei,PHY,154,443,370,"Medulla, motor related",MY-mot,0,0
682,Lateral dorsal nucleus of thalamus,LD,155,160,239,Anterior group of the dorsal thalamus,ATN,103168,0
127,"Dorsal auditory area, layer 6a",AUDd6a,156,1009,1011,Dorsal auditory area,AUDd,23151,0
716,Periventricular zone,PVZ,157,302,1097,Hypothalamus,HY,0,0
1122,posterior commissure,pc,158,585,832,oculomotor nerve,IIIn,4903,0
390,Anterior olfactory nucleus,AON,159,19,698,Olfactory areas,OLF,472528,0
396,"Anterior olfactory nucleus, layer 1",AON1,160,868,159,Anterior olfactory nucleus,AON,0,0
994,Nucleus intercalatus,NIS,161,444,154,Perihypoglossal nuclei,PHY,0,0
929,Laterodorsal tegmental nucleus,LDT,162,161,1117,"Pons, behavioral state related",P-sat,22835,0
287,"Agranular insular area, posterior part, layer 2/3",AIp2/3,163,1010,111,"Agranular insular area, posterior part",AIp,74177,0
1304,"central canal, spinal cord/medulla",c,164,727,73,ventricular systems,VS,53,0
868,Midbrain raphe nuclei,RAmb,165,303,348,"Midbrain, behavioral state related",MBsta,0,0
1270,premammillary commissure,pmx,166,586,824,hypothalamus related,mfsbshy,0,0
391,"Anterior olfactory nucleus, dorsal part",AONd,167,20,159,Anterior olfactory nucleus,AON,0,0
397,"Anterior olfactory nucleus, layer 2",AON2,168,869,159,Anterior olfactory nucleus,AON,0,0
996,Nucleus prepositus,PRP,169,445,154,Perihypoglossal nuclei,PHY,28227,0
662,Dorsal part of the lateral geniculate complex,LGd,170,162,1008,"Geniculate group, dorsal thalamus",GENd,274,0
239,"Prelimbic area, layer 1",PL1,171,1011,972,Prelimbic area,PL,50909,0
799,Retrochiasmatic area,RCH,173,304,290,Hypothalamic lateral zone,LZ,14930,0
1265,preoptic commissure,poc,174,587,824,hypothalamus related,mfsbshy,0,0
392,"Anterior olfactory nucleus, external part",AONe,175,21,159,Anterior olfactory nucleus,AON,0,0
995,Nucleus of Roller,NR,177,446,154,Perihypoglossal nuclei,PHY,3330,0
707,Ventral part of the lateral geniculate complex,LGv,178,163,1014,"Geniculate group, ventral thalamus",GENv,38689,0
224,"Anterior cingulate area, layer 6a",ACA6a,179,1012,31,Anterior cingulate area,ACA,0,0
109,"Gustatory areas, layer 2/3",GU2/3,180,729,1057,Gustatory areas,GU,36011,0
694,Nucleus of reuniens,RE,181,305,571,Midline group of the dorsal thalamus,MTN,55038,0
1272,propriohypothalamic pathways,php,182,588,824,hypothalamus related,mfsbshy,0,0
393,"Anterior olfactory nucleus, lateral part",AONl,183,22,159,Anterior olfactory nucleus,AON,0,0
6,"Frontal pole, cerebral cortex",FRP,184,871,315,Isocortex,Isocortex,0,0
999,"Parapyramidal nucleus, deep part",PPYd,185,447,1069,Parapyramidal nucleus,PPY,0,0
713,Lateral habenula,LH,186,164,958,Epithalamus,EPI,30764,0
111,"Gustatory areas, layer 5",GU5,187,1013,1057,Gustatory areas,GU,46705,0
387,"Accessory olfactory bulb, glomerular layer",AOBgl,188,730,151,Accessory olfactory bulb,AOB,12437,0
697,Rhomboid nucleus,RH,189,306,51,Intralaminar nuclei of the dorsal thalamus,ILM,8577,0
1208,pyramid,py,190,589,784,corticospinal tract,cst,52928,0
394,"Anterior olfactory nucleus, medial part",AONm,191,23,159,Anterior olfactory nucleus,AON,0,0
428,"Cortical amygdalar area, anterior part, layer 1",COAa1,192,872,639,"Cortical amygdalar area, anterior part",COAa,0,0
1000,"Parapyramidal nucleus, superficial part",PPYs,193,448,1069,Parapyramidal nucleus,PPY,0,0
794,Lateral hypothalamic area,LHA,194,165,290,Hypothalamic lateral zone,LZ,224280,0
240,"Prelimbic area, layer 2",PL2,195,1014,972,Prelimbic area,PL,0,0
388,"Accessory olfactory bulb, granular layer",AOBgr,196,731,151,Accessory olfactory bulb,AOB,17812,0
879,Rostral linear nucleus raphe,RL,197,307,165,Midbrain raphe nuclei,RAmb,5116,0
1209,pyramidal decussation,pyd,198,590,784,corticospinal tract,cst,5557,0
395,"Anterior olfactory nucleus, posteroventral part",AONpv,199,24,159,Anterior olfactory nucleus,AON,0,0
429,"Cortical amygdalar area, anterior part, layer 2",COAa2,200,873,639,"Cortical amygdalar area, anterior part",COAa,0,0
53,"Primary somatosensory area, barrel field, layer 2/3",SSp-bfd2/3,201,1015,329,"Primary somatosensory area, barrel field",SSp-bfd,150662,0
1003,Medial vestibular nucleus,MV,202,449,701,Vestibular nuclei,VNC,180843,0
980,Linear nucleus of the medulla,LIN,203,166,370,"Medulla, motor related",MY-mot,6397,0
389,"Accessory olfactory bulb, mitral layer",AOBmi,204,732,151,Accessory olfactory bulb,AOB,21793,0
1236,"retriculospinal tract, lateral part",rstl,205,591,855,retriculospinal tract,rst,0,0
1011,Nucleus raphe magnus,RM,206,308,379,"Medulla, behavioral state related",MY-sat,10283,0
937,Area postrema,AP,207,25,386,"Medulla, sensory related",MY-sen,7577,0
430,"Cortical amygdalar area, anterior part, layer 3",COAa3,208,874,639,"Cortical amygdalar area, anterior part",COAa,0,0
1002,Lateral vestibular nucleus,LAV,209,450,701,Vestibular nuclei,VNC,22527,0
763,Lateral mammillary nucleus,LM,210,167,331,Mammillary body,MBO,6492,0
228,"Anterior cingulate area, dorsal part, layer 2/3",ACAd2/3,211,1016,39,"Anterior cingulate area, dorsal part",ACAd,64945,0
381,"Main olfactory bulb, glomerular layer",MOBgl,212,733,507,Main olfactory bulb,MOB,0,0
1237,"retriculospinal tract, medial part",rstm,213,592,855,retriculospinal tract,rst,0,0
853,Red nucleus,RN,214,309,323,"Midbrain, motor related",MBmot,70348,0
844,Anterior pretectal nucleus,APN,215,26,1100,Pretectal region,PRT,117776,0
435,"Cortical amygdalar area, posterior part, lateral zone, layer 1",COApl1,216,875,655,"Cortical amygdalar area, posterior part, lateral zone",COApl,0,0
1005,Superior vestibular nucleus,SUV,217,451,701,Vestibular nuclei,VNC,31059,0
668,Lateral posterior nucleus of the thalamus,LP,218,168,138,Lateral group of the dorsal thalamus,LAT,103711,0
14,"Somatomotor areas, Layer 2/3",MO2/3,219,1017,500,Somatomotor areas,MO,0,0
382,"Main olfactory bulb, granule layer",MOBgr,220,734,507,Main olfactory bulb,MOB,0,0
1233,rubroreticular tract,rrt,221,593,863,rubrospinal tract,rust,0,0
1013,Nucleus raphe obscurus,RO,222,310,379,"Medulla, behavioral state related",MY-sat,3115,0
733,Arcuate hypothalamic nucleus,ARH,223,27,157,Periventricular zone,PVZ,27153,0
436,"Cortical amygdalar area, posterior part, lateral zone, layer 2",COApl2,224,876,655,"Cortical amygdalar area, posterior part, lateral zone",COApl,0,0
1004,Spinal vestibular nucleus,SPIV,225,452,701,Vestibular nuclei,VNC,66450,0
795,Lateral preoptic area,LPO,226,169,290,Hypothalamic lateral zone,LZ,67710,0
225,"Anterior cingulate area, layer 6b",ACA6b,227,1018,31,Anterior cingulate area,ACA,0,0
383,"Main olfactory bulb, inner plexiform layer",MOBipl,228,735,507,Main olfactory bulb,MOB,0,0
1128,sensory root of the trigeminal nerve,sV,229,594,901,trigeminal nerve,Vn,46979,0
1012,Nucleus raphe pallidus,RPA,230,311,379,"Medulla, behavioral state related",MY-sat,5350,0
860,Anterior tegmental nucleus,AT,231,28,323,"Midbrain, motor related",MBmot,4076,0
437,"Cortical amygdalar area, posterior part, lateral zone, layer 3",COApl3,232,877,655,"Cortical amygdalar area, posterior part, lateral zone",COApl,0,0
168,"Anterolateral visual area, layer 5",VISal5,233,453,402,Anterolateral visual area,VISal,23090,0
363,"Temporal association areas, layer 4",TEa4,234,1019,541,Temporal association areas,TEa,28078,0
981,Lateral reticular nucleus,LRN,235,170,370,"Medulla, motor related",MY-mot,0,0
384,"Main olfactory bulb, mitral layer",MOBmi,236,736,507,Main olfactory bulb,MOB,0,0
1146,solitary tract,ts,237,595,917,vagus nerve,Xn,1142,0
932,Nucleus raphe pontis,RPO,238,312,1117,"Pons, behavioral state related",P-sat,9856,0
674,Anterior group of the dorsal thalamus,ATN,239,29,856,"Thalamus, polymodal association cortex related",DORpm,0,0
441,"Cortical amygdalar area, posterior part, medial zone, layer 1",COApm1,240,878,663,"Cortical amygdalar area, posterior part, medial zone",COApm,0,0
341,"Posterior parietal association areas, layer 2/3",PTLp2/3,241,454,22,Posterior parietal association areas,PTLp,0,0
586,Lateral septal nucleus,LS,242,171,275,Lateral septal complex,LSX,0,0
128,"Dorsal auditory area, layer 6b",AUDd6b,243,1020,1011,Dorsal auditory area,AUDd,3586,0
385,"Main olfactory bulb, outer plexiform layer",MOBopl,244,737,507,Main olfactory bulb,MOB,0,0
1164,spinocervical tract,scrt,245,596,871,spinothalamic tract,sst,0,0
825,"Midbrain reticular nucleus, retrorubral area",RR,246,313,323,"Midbrain, motor related",MBmot,12002,0
121,Auditory areas,AUD,247,30,315,Isocortex,Isocortex,0,0
442,"Cortical amygdalar area, posterior part, medial zone, layer 2",COApm2,248,879,663,"Cortical amygdalar area, posterior part, medial zone",COApm,0,0
148,"Posterior auditory area, layer 6a",AUDpo6a,249,455,1027,Posterior auditory area,AUDpo,8253,0
587,"Lateral septal nucleus, caudal (caudodorsal) part",LSc,250,172,242,Lateral septal nucleus,LS,65962,0
138,"Primary auditory area, layer 2/3",AUDp2/3,251,1021,1002,Primary auditory area,AUDp,46389,0
126,"Dorsal auditory area, layer 5",AUDd5,252,738,1011,Dorsal auditory area,AUDd,37644,0
1169,spinohypothalamic pathway,shp,253,597,871,spinothalamic tract,sst,0,0
297,Retrosplenial area,RSP,254,314,315,Isocortex,Isocortex,0,0
675,Anteroventral nucleus of thalamus,AV,255,31,239,Anterior group of the dorsal thalamus,ATN,49675,0
443,"Cortical amygdalar area, posterior part, medial zone, layer 3",COApm3,256,880,663,"Cortical amygdalar area, posterior part, medial zone",COApm,0,0
204,"posteromedial visual area, layer 6a",VISpm6a,257,456,533,posteromedial visual area,VISpm,13773,0
588,"Lateral septal nucleus, rostral (rostroventral) part",LSr,258,173,242,Lateral septal nucleus,LS,193616,0
518,"Entorhinal area, medial part, ventral zone, layer 1",ENTmv1,259,1022,934,"Entorhinal area, medial part, ventral zone",ENTmv,0,0
423,"Nucleus of the lateral olfactory tract, molecular layer",NLOT1,260,739,619,Nucleus of the lateral olfactory tract,NLOT,12404,0
1165,spino-olivary pathway,sop,261,598,871,spinothalamic tract,sst,0,0
703,Reticular nucleus of the thalamus,RT,262,315,856,"Thalamus, polymodal association cortex related",DORpm,136133,0
737,Anteroventral preoptic nucleus,AVP,263,32,141,Periventricular region,PVR,9533,0
253,"Orbital area, layer 1",ORB1,264,881,714,Orbital area,ORB,0,0
589,"Lateral septal nucleus, ventral part",LSv,266,174,242,Lateral septal nucleus,LS,63736,0
415,"Dorsal peduncular area, layer 6a",DP6a,267,1023,814,Dorsal peduncular area,DP,0,0
424,"Nucleus of the lateral olfactory tract, pyramidal layer",NLOT2,268,740,619,Nucleus of the lateral olfactory tract,NLOT,15251,0
194,"Posterolateral visual area, layer 2/3",VISpl2/3,269,882,425,Posterolateral visual area,VISpl,23461,0
1166,spinoreticular pathway,srp,270,599,871,spinothalamic tract,sst,0,0
817,Nucleus sagulum,SAG,271,316,339,"Midbrain, sensory related",MBsen,8408,0
738,Anteroventral periventricular nucleus,AVPV,272,33,141,Periventricular region,PVR,18282,0
330,"Retrosplenial area, dorsal part, layer 6a",RSPd6a,274,1024,879,"Retrosplenial area, dorsal part",RSPd,66020,0
585,Lateral septal complex,LSX,275,175,477,Striatum,STR,0,0
418,"Piriform area, molecular layer",PIR1,276,741,961,Piriform area,PIR,0,0
1168,spinotectal pathway,stp,277,600,871,spinothalamic tract,sst,0,0
592,Striatum-like amygdalar nuclei,sAMY,278,317,477,Striatum,STR,1679,0
303,"Retrosplenial area, lateral agranular part, layer 6b",RSPagl6b,279,883,894,"Retrosplenial area, lateral agranular part",RSPagl,2906,0
907,Barrington's nucleus,B,280,34,987,"Pons, motor related",P-mot,1725,0
172,"Anteromedial visual area, layer 1",VISam1,281,1025,394,Anteromedial visual area,VISam,13131,0
909,Lateral tegmental nucleus,LTN,283,176,987,"Pons, motor related",P-mot,0,0
419,"Piriform area, pyramidal layer",PIR2,284,742,961,Piriform area,PIR,0,0
1170,spinotelenchephalic pathway,step,285,601,871,spinothalamic tract,sst,0,0
752,Suprachiasmatic nucleus,SCH,286,318,141,Periventricular region,PVR,6638,0
638,Bed nucleus of the anterior commissure,BAC,287,35,809,"Pallidum, caudal region",PALc,832,0
274,"Orbital area, ventrolateral part, layer 2/3",ORBvl2/3,288,884,746,"Orbital area, ventrolateral part",ORBvl,44356,0
364,"Temporal association areas, layer 5",TEa5,289,1026,541,Temporal association areas,TEa,89621,0
793,Hypothalamic lateral zone,LZ,290,177,1097,Hypothalamus,HY,0,0
420,"Piriform area, polymorph layer",PIR3,291,743,961,Piriform area,PIR,0,0
594,Bed nucleus of the accessory olfactory tract,BA,292,460,278,Striatum-like amygdalar nuclei,sAMY,2736,0
1167,spinovestibular pathway,svp,293,602,871,spinothalamic tract,sst,0,0
830,"Superior colliculus, motor related",SCm,294,319,323,"Midbrain, motor related",MBmot,0,0
562,Basolateral amygdalar nucleus,BLA,295,36,703,Cortical subplate,CTXsp,0,0
