,name,acronym,id,reassigned_id,parent_structure_id,parent_name,parent_acronym,fullname
750,"Periventricular hypothalamic nucleus, preoptic part",PVpo,133,751,141.0,Periventricular region,PVR,"PVpo: Periventricular hypothalamic nucleus, preoptic part"
1223,pallidotegmental fascicle,ptf,134,1224,760.0,cerebral nuclei related,epsc,ptf: pallidotegmental fascicle
970,Nucleus ambiguus,AMB,135,971,370.0,"Medulla, motor related",MY-mot,AMB: Nucleus ambiguus
978,Intermediate reticular nucleus,IRN,136,979,370.0,"Medulla, motor related",MY-mot,IRN: Intermediate reticular nucleus
926,"Superior central nucleus raphe, lateral part",CSl,137,927,679.0,Superior central nucleus raphe,CS,"CSl: Superior central nucleus raphe, lateral part"
667,Lateral group of the dorsal thalamus,LAT,138,668,856.0,"Thalamus, polymodal association cortex related",DORpm,LAT: Lateral group of the dorsal thalamus
503,"Entorhinal area, lateral part, layer 5",ENTl5,139,504,918.0,"Entorhinal area, lateral part",ENTl,"ENTl5: Entorhinal area, lateral part, layer 5"
1300,cerebral aqueduct,AQ,140,1301,73.0,ventricular systems,VS,AQ: cerebral aqueduct
734,Periventricular region,PVR,141,735,1097.0,Hypothalamus,HY,PVR: Periventricular region
1220,pallidothalamic pathway,pap,142,1221,760.0,cerebral nuclei related,epsc,pap: pallidothalamic pathway
972,"Nucleus ambiguus, ventral division",AMBv,143,973,135.0,Nucleus ambiguus,AMB,"AMBv: Nucleus ambiguus, ventral division"
580,"Olfactory tubercle, layers 1-3",OT1-3,144,581,754.0,Olfactory tubercle,OT,"OT1-3: Olfactory tubercle, layers 1-3"
1301,fourth ventricle,V4,145,1302,73.0,ventricular systems,VS,V4: fourth ventricle
931,Pontine reticular nucleus,PRNr,146,932,1117.0,"Pons, behavioral state related",P-sat,PRNr: Pontine reticular nucleus
928,Locus ceruleus,LC,147,929,1117.0,"Pons, behavioral state related",P-sat,LC: Locus ceruleus
110,"Gustatory areas, layer 4",GU4,148,111,1057.0,Gustatory areas,GU,"GU4: Gustatory areas, layer 4"
692,Paraventricular nucleus of the thalamus,PVT,149,693,571.0,Midline group of the dorsal thalamus,MTN,PVT: Paraventricular nucleus of the thalamus
1276,periventricular bundle of the hypothalamus,pvbh,150,1277,824.0,hypothalamus related,mfsbshy,pvbh: periventricular bundle of the hypothalamus
386,Accessory olfactory bulb,AOB,151,387,698.0,Olfactory areas,OLF,AOB: Accessory olfactory bulb
417,"Piriform area, layers 1-3",PIR1-3,152,418,961.0,Piriform area,PIR,"PIR1-3: Piriform area, layers 1-3"
1302,lateral recess,V4r,153,1303,145.0,fourth ventricle,V4,V4r: lateral recess
993,Perihypoglossal nuclei,PHY,154,994,370.0,"Medulla, motor related",MY-mot,PHY: Perihypoglossal nuclei
682,Lateral dorsal nucleus of thalamus,LD,155,683,239.0,Anterior group of the dorsal thalamus,ATN,LD: Lateral dorsal nucleus of thalamus
127,"Dorsal auditory area, layer 6a",AUDd6a,156,128,1011.0,Dorsal auditory area,AUDd,"AUDd6a: Dorsal auditory area, layer 6a"
716,Periventricular zone,PVZ,157,717,1097.0,Hypothalamus,HY,PVZ: Periventricular zone
1121,posterior commissure,pc,158,1122,832.0,oculomotor nerve,IIIn,pc: posterior commissure
390,Anterior olfactory nucleus,AON,159,391,698.0,Olfactory areas,OLF,AON: Anterior olfactory nucleus
396,"Anterior olfactory nucleus, layer 1",AON1,160,397,159.0,Anterior olfactory nucleus,AON,"AON1: Anterior olfactory nucleus, layer 1"
994,Nucleus intercalatus,NIS,161,995,154.0,Perihypoglossal nuclei,PHY,NIS: Nucleus intercalatus
929,Laterodorsal tegmental nucleus,LDT,162,930,1117.0,"Pons, behavioral state related",P-sat,LDT: Laterodorsal tegmental nucleus
287,"Agranular insular area, posterior part, layer 2/3",AIp2/3,163,288,111.0,"Agranular insular area, posterior part",AIp,"AIp2/3: Agranular insular area, posterior part, layer 2/3"
1303,"central canal, spinal cord/medulla",c,164,1304,73.0,ventricular systems,VS,"c: central canal, spinal cord/medulla"
868,Midbrain raphe nuclei,RAmb,165,869,348.0,"Midbrain, behavioral state related",MBsta,RAmb: Midbrain raphe nuclei
1269,premammillary commissure,pmx,166,1270,824.0,hypothalamus related,mfsbshy,pmx: premammillary commissure
391,"Anterior olfactory nucleus, dorsal part",AONd,167,392,159.0,Anterior olfactory nucleus,AON,"AONd: Anterior olfactory nucleus, dorsal part"
397,"Anterior olfactory nucleus, layer 2",AON2,168,398,159.0,Anterior olfactory nucleus,AON,"AON2: Anterior olfactory nucleus, layer 2"
996,Nucleus prepositus,PRP,169,997,154.0,Perihypoglossal nuclei,PHY,PRP: Nucleus prepositus
662,Dorsal part of the lateral geniculate complex,LGd,170,663,1008.0,"Geniculate group, dorsal thalamus",GENd,LGd: Dorsal part of the lateral geniculate complex
239,"Prelimbic area, layer 1",PL1,171,240,972.0,Prelimbic area,PL,"PL1: Prelimbic area, layer 1"
799,Retrochiasmatic area,RCH,173,800,290.0,Hypothalamic lateral zone,LZ,RCH: Retrochiasmatic area
1264,preoptic commissure,poc,174,1265,824.0,hypothalamus related,mfsbshy,poc: preoptic commissure
392,"Anterior olfactory nucleus, external part",AONe,175,393,159.0,Anterior olfactory nucleus,AON,"AONe: Anterior olfactory nucleus, external part"
995,Nucleus of Roller,NR,177,996,154.0,Perihypoglossal nuclei,PHY,NR: Nucleus of Roller
707,Ventral part of the lateral geniculate complex,LGv,178,708,1014.0,"Geniculate group, ventral thalamus",GENv,LGv: Ventral part of the lateral geniculate complex
224,"Anterior cingulate area, layer 6a",ACA6a,179,225,31.0,Anterior cingulate area,ACA,"ACA6a: Anterior cingulate area, layer 6a"
109,"Gustatory areas, layer 2/3",GU2/3,180,110,1057.0,Gustatory areas,GU,"GU2/3: Gustatory areas, layer 2/3"
694,Nucleus of reuniens,RE,181,695,571.0,Midline group of the dorsal thalamus,MTN,RE: Nucleus of reuniens
1271,propriohypothalamic pathways,php,182,1272,824.0,hypothalamus related,mfsbshy,php: propriohypothalamic pathways
393,"Anterior olfactory nucleus, lateral part",AONl,183,394,159.0,Anterior olfactory nucleus,AON,"AONl: Anterior olfactory nucleus, lateral part"
6,"Frontal pole, cerebral cortex",FRP,184,7,315.0,Isocortex,Isocortex,"FRP: Frontal pole, cerebral cortex"
999,"Parapyramidal nucleus, deep part",PPYd,185,1000,1069.0,Parapyramidal nucleus,PPY,"PPYd: Parapyramidal nucleus, deep part"
713,Lateral habenula,LH,186,714,958.0,Epithalamus,EPI,LH: Lateral habenula
111,"Gustatory areas, layer 5",GU5,187,112,1057.0,Gustatory areas,GU,"GU5: Gustatory areas, layer 5"
387,"Accessory olfactory bulb, glomerular layer",AOBgl,188,388,151.0,Accessory olfactory bulb,AOB,"AOBgl: Accessory olfactory bulb, glomerular layer"
697,Rhomboid nucleus,RH,189,698,51.0,Intralaminar nuclei of the dorsal thalamus,ILM,RH: Rhomboid nucleus
1207,pyramid,py,190,1208,784.0,corticospinal tract,cst,py: pyramid
394,"Anterior olfactory nucleus, medial part",AONm,191,395,159.0,Anterior olfactory nucleus,AON,"AONm: Anterior olfactory nucleus, medial part"
428,"Cortical amygdalar area, anterior part, layer 1",COAa1,192,429,639.0,"Cortical amygdalar area, anterior part",COAa,"COAa1: Cortical amygdalar area, anterior part, layer 1"
1000,"Parapyramidal nucleus, superficial part",PPYs,193,1001,1069.0,Parapyramidal nucleus,PPY,"PPYs: Parapyramidal nucleus, superficial part"
794,Lateral hypothalamic area,LHA,194,795,290.0,Hypothalamic lateral zone,LZ,LHA: Lateral hypothalamic area
240,"Prelimbic area, layer 2",PL2,195,241,972.0,Prelimbic area,PL,"PL2: Prelimbic area, layer 2"
388,"Accessory olfactory bulb, granular layer",AOBgr,196,389,151.0,Accessory olfactory bulb,AOB,"AOBgr: Accessory olfactory bulb, granular layer"
879,Rostral linear nucleus raphe,RL,197,880,165.0,Midbrain raphe nuclei,RAmb,RL: Rostral linear nucleus raphe
1208,pyramidal decussation,pyd,198,1209,784.0,corticospinal tract,cst,pyd: pyramidal decussation
395,"Anterior olfactory nucleus, posteroventral part",AONpv,199,396,159.0,Anterior olfactory nucleus,AON,"AONpv: Anterior olfactory nucleus, posteroventral part"
429,"Cortical amygdalar area, anterior part, layer 2",COAa2,200,430,639.0,"Cortical amygdalar area, anterior part",COAa,"COAa2: Cortical amygdalar area, anterior part, layer 2"
53,"Primary somatosensory area, barrel field, layer 2/3",SSp-bfd2/3,201,54,329.0,"Primary somatosensory area, barrel field",SSp-bfd,"SSp-bfd2/3: Primary somatosensory area, barrel field, layer 2/3"
1003,Medial vestibular nucleus,MV,202,1004,701.0,Vestibular nuclei,VNC,MV: Medial vestibular nucleus
980,Linear nucleus of the medulla,LIN,203,981,370.0,"Medulla, motor related",MY-mot,LIN: Linear nucleus of the medulla
389,"Accessory olfactory bulb, mitral layer",AOBmi,204,390,151.0,Accessory olfactory bulb,AOB,"AOBmi: Accessory olfactory bulb, mitral layer"
1235,"retriculospinal tract, lateral part",rstl,205,1236,855.0,retriculospinal tract,rst,"rstl: retriculospinal tract, lateral part"
1011,Nucleus raphe magnus,RM,206,1012,379.0,"Medulla, behavioral state related",MY-sat,RM: Nucleus raphe magnus
937,Area postrema,AP,207,938,386.0,"Medulla, sensory related",MY-sen,AP: Area postrema
430,"Cortical amygdalar area, anterior part, layer 3",COAa3,208,431,639.0,"Cortical amygdalar area, anterior part",COAa,"COAa3: Cortical amygdalar area, anterior part, layer 3"
1002,Lateral vestibular nucleus,LAV,209,1003,701.0,Vestibular nuclei,VNC,LAV: Lateral vestibular nucleus
763,Lateral mammillary nucleus,LM,210,764,331.0,Mammillary body,MBO,LM: Lateral mammillary nucleus
228,"Anterior cingulate area, dorsal part, layer 2/3",ACAd2/3,211,229,39.0,"Anterior cingulate area, dorsal part",ACAd,"ACAd2/3: Anterior cingulate area, dorsal part, layer 2/3"
381,"Main olfactory bulb, glomerular layer",MOBgl,212,382,507.0,Main olfactory bulb,MOB,"MOBgl: Main olfactory bulb, glomerular layer"
1236,"retriculospinal tract, medial part",rstm,213,1237,855.0,retriculospinal tract,rst,"rstm: retriculospinal tract, medial part"
853,Red nucleus,RN,214,854,323.0,"Midbrain, motor related",MBmot,RN: Red nucleus
844,Anterior pretectal nucleus,APN,215,845,1100.0,Pretectal region,PRT,APN: Anterior pretectal nucleus
435,"Cortical amygdalar area, posterior part, lateral zone, layer 1",COApl1,216,436,655.0,"Cortical amygdalar area, posterior part, lateral zone",COApl,"COApl1: Cortical amygdalar area, posterior part, lateral zone, layer 1"
1005,Superior vestibular nucleus,SUV,217,1006,701.0,Vestibular nuclei,VNC,SUV: Superior vestibular nucleus
